target_time,Direction,Lead_hours,Source_time,Speed,Total,dir_deg,dir_rad,u,v
2021-12-11 15:00:00+00:00,SSE,1,1639227600,11.176,27.621047777777775,157.5,2.748893571891069,-10.325277655346142,4.276870040112245
2021-12-11 18:00:00+00:00,SSW,1,1639238400,8.04672,21.135542144444443,202.5,3.5342917352885173,-7.434199911849222,-3.0793464288808146
2021-12-11 21:00:00+00:00,WSW,1,1639249200,11.176,20.616208677777777,247.5,4.319689898685966,-4.27687004011224,-10.325277655346142
2021-12-12 15:00:00+00:00,SSW,1,1639314000,4.91744,9.428369872222222,202.5,3.5342917352885173,-4.543122168352302,-1.8818228176493865
2021-12-12 18:00:00+00:00,S,1,1639324800,4.91744,22.026014244444447,180.0,3.141592653589793,-4.91744,6.022127155999161e-16
2021-12-12 21:00:00+00:00,SE,1,1639335600,13.85824,32.051469805555556,135.0,2.356194490192345,-9.79925547931066,9.799255479310661
2021-12-13 15:00:00+00:00,WSW,1,1639400400,12.07008,25.860964405555553,247.5,4.319689898685966,-4.61901964332122,-11.151299867773833
2021-12-13 18:00:00+00:00,WSW,1,1639411200,13.85824,26.95525915,247.5,4.319689898685966,-5.303318849739178,-12.803344292629216
2021-12-13 21:00:00+00:00,SW,1,1639422000,13.85824,26.554086533333333,225.0,3.9269908169872414,-9.799255479310663,-9.79925547931066
2021-12-14 15:00:00+00:00,SW,1,1639486800,15.19936,29.445164449999996,225.0,3.9269908169872414,-10.747570525695565,-10.747570525695563
2021-12-14 18:00:00+00:00,SW,1,1639497600,15.19936,28.98140338888889,225.0,3.9269908169872414,-10.747570525695565,-10.747570525695563
2021-12-14 21:00:00+00:00,W,1,1639508400,8.04672,28.395486405555555,270.0,4.71238898038469,-1.4781584837452485e-15,-8.04672
2021-12-15 15:00:00+00:00,W,1,1639573200,12.96416,29.691614255555557,270.0,4.71238898038469,-2.3814775571451225e-15,-12.96416
2021-12-15 18:00:00+00:00,W,1,1639584000,13.85824,27.590753355555556,270.0,4.71238898038469,-2.5457173886723723e-15,-13.85824
2021-12-15 21:00:00+00:00,W,1,1639594800,12.07008,26.47921451111111,270.0,4.71238898038469,-2.2172377256178727e-15,-12.07008
2021-12-16 15:00:00+00:00,WSW,1,1639659600,11.176,23.20090887222222,247.5,4.319689898685966,-4.27687004011224,-10.325277655346142
2021-12-16 18:00:00+00:00,WSW,1,1639670400,9.83488,23.24409798888889,247.5,4.319689898685966,-3.7636456352987713,-9.086244336704604
2021-12-16 21:00:00+00:00,SW,1,1639681200,8.04672,16.308341966666667,225.0,3.9269908169872414,-5.689890278309417,-5.689890278309416
2021-12-17 15:00:00+00:00,WSW,1,1639746000,7.15264,4.215330833333334,247.5,4.319689898685966,-2.7371968256718335,-6.608177699421531
2021-12-17 18:00:00+00:00,WSW,1,1639756800,5.81152,2.109642238888889,247.5,4.319689898685966,-2.223972420858365,-5.369144380779994
2021-12-17 21:00:00+00:00,SSW,1,1639767600,4.02336,1.4529812166666665,202.5,3.5342917352885173,-3.717099955924611,-1.5396732144404073
2021-12-18 15:00:00+00:00,WNW,1,1639832400,8.9408,11.255777833333333,292.5,5.105088062083414,3.4214960320897965,-8.260222124276911
2021-12-18 18:00:00+00:00,NW,1,1639843200,5.81152,6.191700000000001,315.0,5.497787143782138,4.109365201001244,-4.109365201001245
2021-12-18 21:00:00+00:00,NW,1,1639854000,4.91744,5.255377794444444,315.0,5.497787143782138,3.4771551700779755,-3.4771551700779773
2021-12-19 15:00:00+00:00,NE,1,1639918800,5.81152,3.08325,45.0,0.7853981633974483,4.1093652010012445,4.1093652010012445
2021-12-19 18:00:00+00:00,ENE,1,1639929600,3.12928,2.1247388833333334,67.5,1.1780972450961724,1.1975236112314283,2.8910777434969193
2021-12-19 21:00:00+00:00,E,1,1639940400,4.02336,1.5213111111111113,90.0,1.5707963267948966,2.4635974729087477e-16,4.02336
2021-12-20 15:00:00+00:00,W,1,1640005200,0.89408,1.3026166666666668,270.0,4.71238898038469,-1.6423983152724981e-16,-0.89408
2021-12-20 18:00:00+00:00,SE,1,1640016000,0.89408,1.2147166666666667,135.0,2.356194490192345,-0.6322100309232683,0.6322100309232684
2021-12-20 21:00:00+00:00,SSW,1,1640026800,0.89408,1.0963483146067416,202.5,3.5342917352885173,-0.8260222124276914,-0.34214960320897936
2021-12-21 15:00:00+00:00,W,1,1640091600,5.81152,3.5888,270.0,4.71238898038469,-1.0675589049271238e-15,-5.81152
2021-12-21 18:00:00+00:00,WNW,1,1640102400,4.91744,1.9424333333333332,292.5,5.105088062083414,1.8818228176493883,-4.543122168352301
2021-12-21 21:00:00+00:00,W,1,1640113200,4.02336,1.4842055555555556,270.0,4.71238898038469,-7.390792418726243e-16,-4.02336
2021-12-22 15:00:00+00:00,SE,1,1640178000,4.91744,4.711355538888889,135.0,2.356194490192345,-3.477155170077976,3.4771551700779764
2021-12-22 18:00:00+00:00,ESE,1,1640188800,4.02336,3.0075888833333333,112.5,1.9634954084936207,-1.5396732144404075,3.7170999559246107
2021-12-22 21:00:00+00:00,E,1,1640199600,5.81152,9.516116711111112,90.0,1.5707963267948966,3.558529683090413e-16,5.81152
2021-12-23 15:00:00+00:00,ENE,1,1640264400,9.83488,23.701777911111108,67.5,1.1780972450961724,3.763645635298775,9.086244336704604
2021-12-23 18:00:00+00:00,ENE,1,1640275200,11.176,21.650283483333332,67.5,1.1780972450961724,4.276870040112244,10.325277655346142
2021-12-23 21:00:00+00:00,NE,1,1640286000,8.9408,11.408294516666665,45.0,0.7853981633974483,6.322100309232684,6.322100309232683
2021-12-24 15:00:00+00:00,E,1,1640350800,8.04672,27.22769006896552,90.0,1.5707963267948966,4.927194945817495e-16,8.04672
2021-12-24 18:00:00+00:00,ESE,1,1640361600,8.04672,20.088746866666668,112.5,1.9634954084936207,-3.079346428880815,7.4341999118492215
2021-12-24 21:00:00+00:00,E,1,1640372400,8.04672,15.203472144,90.0,1.5707963267948966,4.927194945817495e-16,8.04672
2021-12-26 15:00:00+00:00,SE,1,1640523600,12.96416,32.82607351851852,135.0,2.356194490192345,-9.167045448387391,9.167045448387393
2021-12-26 18:00:00+00:00,SSE,1,1640534400,15.19936,33.262449825,157.5,2.748893571891069,-14.042377611270751,5.816543254552653
2021-12-26 21:00:00+00:00,SSE,1,1640545200,12.96416,33.2352988556701,157.5,2.748893571891069,-11.977322080201523,4.961169246530203
2021-12-27 15:00:00+00:00,S,1,1640610000,4.02336,4.639673913043478,180.0,3.141592653589793,-4.02336,4.927194945817495e-16
2021-12-27 18:00:00+00:00,S,1,1640620800,4.02336,2.747360655737705,180.0,3.141592653589793,-4.02336,4.927194945817495e-16
2021-12-27 21:00:00+00:00,S,1,1640631600,4.91744,1.8439113924050634,180.0,3.141592653589793,-4.91744,6.022127155999161e-16
2021-12-28 15:00:00+00:00,SW,1,1640696400,4.91744,2.5249545454545452,225.0,3.9269908169872414,-3.4771551700779773,-3.477155170077976
2021-12-28 18:00:00+00:00,WSW,1,1640707200,4.91744,4.272289421052632,247.5,4.319689898685966,-1.8818228176493856,-4.543122168352302
2021-12-28 21:00:00+00:00,SW,1,1640718000,5.81152,7.2809860833333335,225.0,3.9269908169872414,-4.109365201001245,-4.1093652010012445
2021-12-29 15:00:00+00:00,SE,1,1640782800,12.07008,29.511595443820227,135.0,2.356194490192345,-8.534835417464123,8.534835417464125
2021-12-29 18:00:00+00:00,SE,1,1640793600,9.83488,19.977033272222222,135.0,2.356194490192345,-6.954310340155952,6.954310340155953
2021-12-29 21:00:00+00:00,WSW,1,1640804400,9.83488,31.231427216666663,247.5,4.319689898685966,-3.7636456352987713,-9.086244336704604
2021-12-30 15:00:00+00:00,WSW,1,1640869200,9.83488,30.791243009345795,247.5,4.319689898685966,-3.7636456352987713,-9.086244336704604
2021-12-30 18:00:00+00:00,W,1,1640880000,11.176,26.83668867222222,270.0,4.71238898038469,-2.052997894090623e-15,-11.176
2021-12-30 21:00:00+00:00,SW,1,1640890800,8.9408,25.09604991111111,225.0,3.9269908169872414,-6.3221003092326855,-6.322100309232683
2021-12-31 15:00:00+00:00,NNE,1,1640955600,8.04672,2.334911111111111,22.5,0.39269908169872414,7.4341999118492215,3.0793464288808154
2021-12-31 18:00:00+00:00,ENE,1,1640966400,7.15264,10.683266705555555,67.5,1.1780972450961724,2.737196825671836,6.60817769942153
2021-12-31 21:00:00+00:00,ESE,1,1640977200,7.15264,13.73411685,112.5,1.9634954084936207,-2.7371968256718353,6.60817769942153
2022-01-01 15:00:00+00:00,SSW,1,1641042000,11.176,29.067085557142857,202.5,3.5342917352885173,-10.325277655346142,-4.276870040112242
2022-01-01 18:00:00+00:00,SSW,1,1641052800,12.96416,27.558493057971017,202.5,3.5342917352885173,-11.977322080201525,-4.961169246530201
2022-01-01 21:00:00+00:00,SW,1,1641063600,11.176,28.460044731343284,225.0,3.9269908169872414,-7.902625386540857,-7.902625386540855
2022-01-02 15:00:00+00:00,S,1,1641128400,8.9408,25.227799942857146,180.0,3.141592653589793,-8.9408,1.0949322101816654e-15
2022-01-02 18:00:00+00:00,SSW,1,1641139200,8.04672,22.609114314285712,202.5,3.5342917352885173,-7.434199911849222,-3.0793464288808146
2022-01-02 21:00:00+00:00,SSW,1,1641150000,8.9408,19.890817954545454,202.5,3.5342917352885173,-8.260222124276913,-3.4214960320897934
2022-01-03 15:00:00+00:00,W,1,1641214800,13.85824,31.11493912222222,270.0,4.71238898038469,-2.5457173886723723e-15,-13.85824
2022-01-03 18:00:00+00:00,WNW,1,1641225600,19.22272,30.274633405555555,292.5,5.105088062083414,7.356216468993063,-17.759477567195358
2022-01-03 21:00:00+00:00,WNW,1,1641236400,20.1168,31.936794527777778,292.5,5.105088062083414,7.6983660722020435,-18.585499779623053
2022-01-04 15:00:00+00:00,NNW,1,1641301200,20.1168,28.75183897222222,337.5,5.8904862254808625,18.585499779623056,-7.698366072202034
2022-01-04 18:00:00+00:00,NNW,1,1641312000,17.8816,23.576289461111113,337.5,5.8904862254808625,16.520444248553826,-6.842992064179585
2022-01-04 21:00:00+00:00,NNW,1,1641322800,22.79904,27.58644461111111,337.5,5.8904862254808625,21.06356641690613,-8.724814881828973
2022-01-05 15:00:00+00:00,NNW,1,1641387600,11.176,13.086061227777776,337.5,5.8904862254808625,10.325277655346142,-4.276870040112241
2022-01-05 18:00:00+00:00,NNW,1,1641398400,7.15264,4.143566666666667,337.5,5.8904862254808625,6.608177699421531,-2.737196825671834
2022-01-05 21:00:00+00:00,NNW,1,1641409200,4.02336,1.3773444444444445,337.5,5.8904862254808625,3.717099955924611,-1.5396732144404068
2022-01-06 15:00:00+00:00,SSE,1,1641474000,16.09344,33.14296723333334,157.5,2.748893571891069,-14.868399823698443,6.158692857761633
2022-01-06 18:00:00+00:00,S,1,1641484800,13.85824,28.648916838888887,180.0,3.141592653589793,-13.85824,1.6971449257815816e-15
2022-01-06 21:00:00+00:00,NW,1,1641495600,5.81152,23.582872400000003,315.0,5.497787143782138,4.109365201001244,-4.109365201001245
2022-01-07 15:00:00+00:00,WNW,1,1641560400,8.04672,19.528255633333334,292.5,5.105088062083414,3.079346428880817,-7.434199911849221
2022-01-07 18:00:00+00:00,WNW,1,1641571200,5.81152,14.76533331111111,292.5,5.105088062083414,2.223972420858368,-5.369144380779992
2022-01-07 21:00:00+00:00,NW,1,1641582000,4.02336,9.904961266666666,315.0,5.497787143782138,2.8449451391547074,-2.8449451391547087
2022-01-08 15:00:00+00:00,WSW,1,1641646800,7.15264,10.605033455555555,247.5,4.319689898685966,-2.7371968256718335,-6.608177699421531
2022-01-08 18:00:00+00:00,WSW,1,1641657600,8.9408,8.941711133333333,247.5,4.319689898685966,-3.421496032089792,-8.260222124276913
2022-01-08 21:00:00+00:00,W,1,1641668400,7.15264,10.164255511111111,270.0,4.71238898038469,-1.3139186522179985e-15,-7.15264
2022-01-09 15:00:00+00:00,SW,1,1641733200,4.02336,1.9295776397515527,225.0,3.9269908169872414,-2.8449451391547087,-2.844945139154708
2022-01-09 18:00:00+00:00,SSE,1,1641744000,4.02336,4.993677766666666,157.5,2.748893571891069,-3.7170999559246107,1.5396732144404082
2022-01-09 21:00:00+00:00,SSE,1,1641754800,5.81152,11.301772338888888,157.5,2.748893571891069,-5.369144380779993,2.223972420858367
2022-01-10 15:00:00+00:00,S,1,1641819600,15.19936,30.577067055555556,180.0,3.141592653589793,-15.19936,1.8613847573088316e-15
2022-01-10 18:00:00+00:00,SW,1,1641830400,12.96416,29.677666794444445,225.0,3.9269908169872414,-9.167045448387395,-9.167045448387391
2022-01-10 21:00:00+00:00,WSW,1,1641841200,12.96416,31.076811327777776,247.5,4.319689898685966,-4.961169246530199,-11.977322080201525
2022-01-11 15:00:00+00:00,SW,1,1641906000,13.85824,29.988333183333335,225.0,3.9269908169872414,-9.799255479310663,-9.79925547931066
2022-01-11 18:00:00+00:00,WSW,1,1641916800,12.96416,30.0851501,247.5,4.319689898685966,-4.961169246530199,-11.977322080201525
2022-01-11 21:00:00+00:00,SW,1,1641927600,13.85824,30.683605077777777,225.0,3.9269908169872414,-9.799255479310663,-9.79925547931066
2022-01-12 15:00:00+00:00,WSW,1,1641992400,17.8816,30.602816194444443,247.5,4.319689898685966,-6.842992064179584,-16.520444248553826
2022-01-12 18:00:00+00:00,WSW,1,1642003200,16.98752,31.415110594444442,247.5,4.319689898685966,-6.500842460970605,-15.694422036126136
2022-01-12 21:00:00+00:00,WSW,1,1642014000,16.98752,28.43220577777778,247.5,4.319689898685966,-6.500842460970605,-15.694422036126136
2022-01-13 15:00:00+00:00,WSW,1,1642078800,16.09344,31.97704406111111,247.5,4.319689898685966,-6.1586928577616264,-14.868399823698445
2022-01-13 18:00:00+00:00,WSW,1,1642089600,16.98752,32.07033830555555,247.5,4.319689898685966,-6.500842460970605,-15.694422036126136
2022-01-13 21:00:00+00:00,WNW,1,1642100400,12.96416,29.26852766111111,292.5,5.105088062083414,4.961169246530205,-11.977322080201521
2022-01-14 15:00:00+00:00,S,1,1642165200,4.02336,8.621883466666667,180.0,3.141592653589793,-4.02336,4.927194945817495e-16
2022-01-14 18:00:00+00:00,SSE,1,1642176000,5.81152,11.512411244444444,157.5,2.748893571891069,-5.369144380779993,2.223972420858367
2022-01-14 21:00:00+00:00,S,1,1642186800,8.04672,5.208944494444444,180.0,3.141592653589793,-8.04672,9.85438989163499e-16
2022-01-15 15:00:00+00:00,SW,1,1642251600,9.83488,14.669545545454545,225.0,3.9269908169872414,-6.9543103401559545,-6.954310340155952
2022-01-15 18:00:00+00:00,SW,1,1642262400,9.83488,17.178209325581395,225.0,3.9269908169872414,-6.9543103401559545,-6.954310340155952
2022-01-15 21:00:00+00:00,SSW,1,1642273200,9.83488,26.60078876111111,202.5,3.5342917352885173,-9.086244336704604,-3.763645635298773
2022-01-16 15:00:00+00:00,W,1,1642338000,17.8816,32.11315496111111,270.0,4.71238898038469,-3.2847966305449963e-15,-17.8816
2022-01-16 18:00:00+00:00,WNW,1,1642348800,16.98752,32.09535521111111,292.5,5.105088062083414,6.500842460970614,-15.694422036126133
2022-01-16 21:00:00+00:00,WNW,1,1642359600,16.98752,30.37521693888889,292.5,5.105088062083414,6.500842460970614,-15.694422036126133
2022-01-17 15:00:00+00:00,W,1,1642424400,12.96416,30.22723883333333,270.0,4.71238898038469,-2.3814775571451225e-15,-12.96416
2022-01-17 18:00:00+00:00,W,1,1642435200,12.07008,27.030222227777777,270.0,4.71238898038469,-2.2172377256178727e-15,-12.07008
2022-01-17 21:00:00+00:00,WSW,1,1642446000,12.07008,18.852922483333334,247.5,4.319689898685966,-4.61901964332122,-11.151299867773833
2022-01-18 15:00:00+00:00,SSW,1,1642510800,9.83488,23.719272205555555,202.5,3.5342917352885173,-9.086244336704604,-3.763645635298773
2022-01-18 18:00:00+00:00,SW,1,1642521600,12.07008,29.73058882777778,225.0,3.9269908169872414,-8.534835417464127,-8.534835417464123
2022-01-18 21:00:00+00:00,SW,1,1642532400,12.07008,26.882649705555554,225.0,3.9269908169872414,-8.534835417464127,-8.534835417464123
2022-01-19 15:00:00+00:00,N,1,1642597200,16.98752,28.96698285,0.0,0.0,16.98752,0.0
2022-01-19 18:00:00+00:00,NNW,1,1642608000,15.19936,32.35038294444445,337.5,5.8904862254808625,14.042377611270753,-5.816543254552648
2022-01-19 21:00:00+00:00,NNW,1,1642618800,16.09344,32.23203244444444,337.5,5.8904862254808625,14.868399823698445,-6.158692857761627
2022-01-20 15:00:00+00:00,NW,1,1642683600,8.9408,18.815366838888888,315.0,5.497787143782138,6.322100309232682,-6.3221003092326855
2022-01-20 18:00:00+00:00,WNW,1,1642694400,8.9408,20.65112777222222,292.5,5.105088062083414,3.4214960320897965,-8.260222124276911
2022-01-20 21:00:00+00:00,W,1,1642705200,8.9408,27.874544244444447,270.0,4.71238898038469,-1.6423983152724981e-15,-8.9408
2022-01-21 15:00:00+00:00,W,1,1642770000,12.96416,31.424933194444446,270.0,4.71238898038469,-2.3814775571451225e-15,-12.96416
2022-01-21 18:00:00+00:00,W,1,1642780800,12.96416,30.71424496666667,270.0,4.71238898038469,-2.3814775571451225e-15,-12.96416
2022-01-21 21:00:00+00:00,WSW,1,1642791600,12.96416,30.94663906666667,247.5,4.319689898685966,-4.961169246530199,-11.977322080201525
2022-01-22 15:00:00+00:00,WSW,1,1642856400,13.85824,30.002577783333336,247.5,4.319689898685966,-5.303318849739178,-12.803344292629216
2022-01-22 18:00:00+00:00,WSW,1,1642867200,12.07008,28.90008885555556,247.5,4.319689898685966,-4.61901964332122,-11.151299867773833
2022-01-22 21:00:00+00:00,SW,1,1642878000,12.96416,25.681244454545457,225.0,3.9269908169872414,-9.167045448387395,-9.167045448387391
2022-01-23 15:00:00+00:00,SW,1,1642942800,12.07008,29.17987082941176,225.0,3.9269908169872414,-8.534835417464127,-8.534835417464123
2022-01-23 18:00:00+00:00,SW,1,1642953600,12.96416,28.255072444444448,225.0,3.9269908169872414,-9.167045448387395,-9.167045448387391
2022-01-23 21:00:00+00:00,SW,1,1642964400,13.85824,29.12096031638418,225.0,3.9269908169872414,-9.799255479310663,-9.79925547931066
2022-01-24 15:00:00+00:00,W,1,1643029200,7.15264,3.9272222277777775,270.0,4.71238898038469,-1.3139186522179985e-15,-7.15264
2022-01-24 18:00:00+00:00,W,1,1643040000,4.02336,3.8871444722222224,270.0,4.71238898038469,-7.390792418726243e-16,-4.02336
